name,isAlive
Turquin,1
Tybero Istarion,1
Tymor,1
Ulf the Ill,0
Tywin Frey (son of Raymund),1
Uller,1
Umar,1
Umfred,1
Umma,1
Urreg,1
Urek Ironmaker,1
Urrathon,1
Urzen,1
Urron Greyiron,1
Urrigon Greyjoy,1
Uthor Underleaf,0
Utt,0
Vaellyn,1
Varly,0
Veiled Lady,1
Vickon Botley,1
Violet,1
Victor Tyrell,1
Walda Frey (daughter of Lothar),1
Walda Frey (daughter of Edwyn),1
Walda Frey (daughter of Rhaegar),1
Walda Frey (daughter of Walton),1
Walda Frey (daughter of Merrett),1
Walda Rivers (daughter of Aemon),1
Walder Frey (son of Jammos),1
Walder Frey (son of Emmon),1
Walder Frey (son of Ryman),1
Walder Frey (son of Merrett),0
Wallen,0
Walton,1
Walys Flowers,0
Wat (Barleycorn),1
Blue Bard,1
Wat (orphan),1
Wat (sailor),1
Wat (Standfast),1
Wat (Wet),1
Wate,1
Watt,0
Wayn (guard),1
Weasel,1
Wendell Webber,1
Wendello Qar Deeth,1
Werlag,1
Rafford,0
Jhogo,1
Sour Alyn,1
Tobho Mott,1
Zollo,1
Tanda Stokeworth,0
Samwell Tarly,1
Abelar Hightower,1
Addam Frey,1
Addam,1
Addam Osgrey,0
Aegon Frey (son of Aenys),1
Aegon Frey (son of Stevron),0
Aegon I Targaryen,0
Aegon II Targaryen,0
Aegon IV Targaryen,0
Aegon Targaryen (son of Baelon),1
Aegon III Targaryen,0
Aegon Targaryen (son of Jaehaerys I),0
Aegon Targaryen (son of Aenys I),0
Aegon Targaryen (son of Rhaegar),0
Aemon Costayne,1
Aenys I Targaryen,0
Aethan,1
Aethelmure,1
Aggar,0
Agrivane,1
Aerys I Targaryen,0
Alaric of Eysen,1
Aerys II Targaryen,0
Alebelly,0
Alequo Adarys,0
Alester Oakheart,1
Alia,1
All-for-Joffrey,0
Allaquo,1
Allyria Dayne,1
Alicent Hightower,0
Alyce,1
Alvyn Sharp,1
Alyn Hunt,1
Alys Arryn,1
Alysanne Bracken,1
Alyn Velaryon,0
Alysanne Osgrey,0
Alyssa Arryn,1
Alysanne Hightower,1
Amabel,1
Ambrode,1
Andrey Dalt,1
Andrey Charlton,0
Argrave the Defiant,1
Armen,1
Arneld,1
Arnell,1
Arrec Durrandon,1
Arron,1
Arryk (guard),1
Arron Qorgyle,1
Arson,1
Aubrey Ambrose,1
Ayrmidon,1
Baelon Targaryen (son of Viserys I),0
Baelon Targaryen (son of Aerys),1
Balon Botley,1
Baelor Targaryen (son of Daeron II),0
Bandy,1
Bannen,0
Barre,1
Barbara Bracken,1
Barth (brewer),1
Bass,1
Bearded Ben,1
Becca,1
Beck,1
Belandra,1
Beldecar,1
Belis,1
Bellonara Otherys,1
Bella,1
Ben,1
Ben Blackthumb,1
Ben Bones,1
Ben Bushy,0
Benedict,1
Benjen Stark (Bitter),1
Benjen Stark (Sweet),1
Bennet,1
Bennis,1
Beqqo,1
Bennarion Botley,1
Beron Blacktyde,1
Bertram Beesbury,1
Bessa,1
Bessa (Winterfell),1
Bess Bracken,1
Bethany (Blushing Bethany),1
Bethany Fair-Fingers,1
Bharbo,1
Big Boil,1
Blind Doss,1
Blane,1
Bodger,1
Borcas,1
Bors,1
Borroq,1
Boy,1
Brandon Stark (Bad),1
Brandon Stark (Burner),1
Brandon Stark (the daughterless),1
Brandon Stark (son of Cregan),1
Brandon Stark (Shipwright),1
Brea,1
Brella,1
Brenett,1
Briar,1
Brogg,1
Brusco,1
Brown Bernarr,0
Bryan of Oldtown,1
Bryen,1
Buford Bulwer,1
Bump,1
Buu,1
Byan Votyris,1
Byam Flint,0
Byren Flowers,1
Byron,1
Cadwyl,1
Lord Cafferen,0
Calon,1
Cadwyn,1
Canker Jeyne,1
Carellen Smallwood,1
Cass,1
Carrot,1
Castos,1
Cedra,1
Catelyn Bracken,1
Cedric Payne,0
Cedrik Storm,1
Cerrick,1
Cetheres,1
Catelyn Stark,0
Cheyk,1
Chiggen,0
Clarence Crabb,1
Clarence Charlton,1
Clarence Crabb (Short),1
Clement,1
Cleyton Caswell,1
Clifford Conklyn,1
Colen of Greenpools,1
Collio Quaynis,1
Conn,0
Coratt,1
Cosgrove,1
Cossomo,1
Courtenay Greenhill,1
Cregan Karstark,1
Cutjack,1
Dacks,1
Daella Targaryen (daughter of Jaehaerys I),0
Daella Targaryen (daughter of Maekar I),0
Daenerys Targaryen (daughter of Aegon IV),0
Daeron I Targaryen,0
Daena Targaryen,0
Daeryssa,1
Daeron Targaryen (son of Viserys I),0
Dagon Ironmaker,1
Daeron Targaryen (son of Maekar I),0
Daeron II Targaryen,0
Dake,1
Dale Drumm,1
Dalla (Dragonstone),1
Damon Lannister (lord),0
Dan,1
Damon Lannister (son of Jason),1
Darla Deddings,1
Danos Slynt,1
Daughter of the Dusk,1
Del,0
Denestan,1
Denyo Terys,1
Dennis Plumm,1
Denys Drumm,1
Denys Redwyne,1
Denyse Hightower,1
Dhazzar,1
Dick Follard,0
Dickon Manwoody,1
Dobber,0
Donnel Drumm,1
Donel Greyjoy,1
Donella Hornwood,0
Donnel Hill,1
Donnis,1
Donyse,1
Dorcas,1
Dornish Dilly,0
Dorren Stark,1
Draqaz,1
Drennan,0
Dudley,1
Dryn,1
Dunaver,1
Durran,1
Dyah,1
Dykk Harlaw,0
Easy,0
Duncan Targaryen,0
Edgerran Oakheart,1
Eden Risley,1
Edmund Ambrose,1
Edwyn Osgrey,0
Eggon,1
Eglantine,1
Egon Emeros,1
Eldiss,1
Eldred Codd,1
Elaena Targaryen,0
Elys Westerling,1
Elyas Willum,1
Elza,0
Emma,1
Elys Waynwood,1
Emrick,1
Endehar,1
Emphyria Vance,1
Enger,1
Erik Ironmaker,1
Erreck,1
Erreg,1
Errok,1
Erryk (guard),1
Esgred,1
Eustace (Braavos),1
Eustace (Dance of the Dragons),1
Ezzara,1
Euron Greyjoy,1
Ezzelyno,1
Fern,1
Ferny,1
Ferret,1
Fogo,0
Fornio,1
Fralegg,1
Frenya,0
Frynne,1
Gage,1
Galladon of Morne,1
Gallard,1
Galt,1
Galtry the Green,1
Galyeon of Cuy,1
Gareth the Grey,1
Garigus,1
Garizon,1
Gariss,1
Garrett Paege,1
Garth XII Gardener,1
Garth of Oldtown,0
Gascoyne,1
Gavin,1
Gelmarr,0
Gerren,1
Gerold Lannister,0
Ghael,1
Gillam,1
Gladden Wylde,0
Glendon Flowers,0
Goady,1
Godwyn,1
Gormond Drumm,1
Gowen Baratheon,1
Grance Morrigen,1
Grazdan,0
Grazdan zo Galare,1
Green Gergen,1
Great Walrus,1
Gretchel,1
Grey King,1
Griffin King,1
Grigg,1
Grisel,1
Grisella,1
Gulian,1
Gulian Qorgyle,1
Gurn,1
Guyne,1
Gwayne Corbray,1
Gwayne Gaunt,1
Gwin Goodbrother,1
Gyles,1
Gyleno Dothare,1
Gyles Farwynd,1
Gwynesse Harlaw,1
Gyles Grafton,1
Gyloro Dothare,1
Gyles III Gardener,1
Gynir,0
Haggon,1
Gysella Goodbrother,1
Hali,0
Haldon,1
Harbert Paege,1
Hamish the Harper,0
Halys Hornwood,0
Harghaz,0
Hareth (Mole's Town),1
Harlan Grandison,0
Harle the Handsome,1
Harle the Huntsman,1
Harlon Botley,1
Harmund Sharp,1
Harlon Greyjoy,1
Harodon,1
Harra,0
Harrag Sharp,0
Harrag Hoare,1
Harren Half-Hoare,1
Harren Botley,0
Harrold Osgrey,1
Harry Sawyer,1
Harsley,0
Harwyn Hoare,1
Hayhead,1
Hazrak zo Loraq,1
Harwyn Plumm,1
Helicent Uffering,0
Helliweg,1
Helly,1
Helya,1
Henk,1
Henly (House Ashford),1
Herbert Bolling,1
Hendry Bracken,0
Heward,0
Hibald,1
Hilmar Drumm,1
Hod,1
Hoke,1
Holger,1
Hop-Robin,1
Hugh Beesbury,1
Humfrey Clifton,1
Hunnimore,1
Husband,1
Illifer,1
Ironbelly,1
Jaehaerys Targaryen (son of Aegon II),0
Jaehaera Targaryen,0
Jaggot,1
Jaehaerys II Targaryen,0
Jaime Frey,1
Jaehaerys I Targaryen,0
Jate,0
Jate Blackberry,1
Jasper Waynwood,1
Jayde,1
Jeffory Norcross,1
Jeffory Mallister,1
Jayne Bracken,1
Squinty Jeyne,1
Jeyne Fossoway,1
Jeyne Heddle,1
Jeyne Swann,1
Jeyne Westerling (wife of Maegor I),0
Jeyne Waters,0
Jeyne Westerling,1
Jocelyn Swyft,1
Jodge,1
Joanna Swyft,1
Joanna Lannister,0
Johanna Swann,1
Jommo,1
Jommy,1
Jon Cupps,1
Jon Heddle,1
Jon Hollard,1
Jon Penny,1
Jon Penrose,1
Jon Pox,1
Jon Vance,1
Jon Umber (Smalljon),0
Jon Umber (Greatjon),1
Jon Waters,0
Jorquen,1
Jorgen,1
Joseran,1
Joseth,1
Joseth Mallister,1
Joss,1
Joss the Gloom,1
Joth Quickbow,1
Josua Willum,1
Jurne,1
Jothos Slynt,1
Jyck,0
Jyzene,1
Kegs,1
Kella,1
Kemmett Pyke,1
Kenned,0
Ketter,1
Kirby Pimm,1
Kojja Mo,1
Kirth Vance,1
Koss,0
Kromm,0
Kurz,0
Kyle,1
Kyle (brotherhood),0
Kyle Royce,1
Kyleg,1
Kym,1
Lamprey,1
Lancel V Lannister,1
Lanna,1
Lanna (Happy Port),1
Larraq,1
Layna,1
Lem,1
Leana Frey,1
Lennocks,1
Lem (Standfast),0
Lenn,1
Lenyl,1
Lenwood Tawney,1
Leo Tyrell (Longthorn),1
Leona Tyrell,1
Leo Tyrell (son of Victor),1
Lester,1
Lew (guard),1
Lewis Lanster,1
Lewys Piper,1
Leyla Hightower,1
Lia Serry,1
Liane Vance,1
Lister,1
Long Lew,1
Lorcas,1
Lorent Lorch,1
Lorimer,0
Lorren,0
Lothar,1
Lorent Tyrell,1
Lotho Lornel,1
Lucan,0
Lucamore Strong,1
Lucantine Woodwright,1
Lucas Nayland,1
Lucas Roote,0
Lucifer Hardy,1
Luco Prestayn,1
Lucimore Botley,1
Lucos,1
Luke of Longtown,1
Lucas Tyrell,1
Lum,1
Luton,0
Luthor Tyrell (son of Moryn),1
Luthor Tyrell (son of Theodore),1
Lymond Mallister,1
Lync,1
Lyonel (knight),1
Lyonel Bentley,0
Lyonel Tyrell (lord),0
Lysa Meadows,1
Lyonel Tyrell (son of Leo),1
Maddy,1
Maerie (Goodwife),1
Maerie (Whore),0
Maggy,1
Malcolm,1
Malleon,1
Malliard,1
Mallor (Knight),1
Mallor,1
Manfred Dondarrion,1
Manfred Lothston,1
Manfred Swann,1
Manfryd Lothston,1
Manfryd Yew,1
Marei,1
Marghaz zo Loraq,1
Maris,1
Marq Grafton,0
Martyn Mullendore,1
Maslyn,0
Mathos Mallarawan,1
Matrice,1
Matt,1
Maynard,1
Maynard Plumm,1
Mazdhan zo Loraq,1
Mebble,1
Meha,1
Mela,1
Meizo Mahr,1
Melaquin,1
Medwick Tyrell,1
Meliana,1
Melicent,1
Mellei,1
Melly,1
Mellos,1
Meralyn,1
Merling Queen,1
Mero,0
Merrell Florent,1
Michael Mertyns,1
Miklaz,1
Mollander,1
Mollos,1
Moonshadow,1
Moreo Tumitis,1
Morgarth,1
Moro,1
Morra,1
Morrec,0
Mors Manwoody,1
Mortimer Boggs,1
Mors Martell (brother of Doran),0
Mother Mole,1
Mudge (brotherhood),1
Mudge (miller),1
Mudge (swineherd),1
Munciter,1
Mully,1
Murch,1
Murch (Winterfell),1
Myles (squire),0
Myrtle,0
Nage,1
Nail,1
Narbert,1
Narbo,1
Nan,1
Ned (ferryman),1
Nella,1
Ned Woods,1
Nissa Nissa,1
Nightingale,1
Nolla,1
Norjen,1
Norren,1
Nymos,1
Normund Tyrell,1
Ocley,1
Ogo,0
Old Crackbones,1
Old Grey Gull,1
Old Tattersalt,1
Old Henly,0
Olyvar Oakheart,0
Olene Tyrell,1
Orbelo,1
Orivel,1
Orell,0
Ormond (knight),0
Ormond Osgrey,1
Ormond Westerling,1
Oro Tendyris,1
Ormund Wylde,1
Osmynd,1
Ossy,1
Oswyn,1
Othor,0
Otter Gimpknee,1
Ottomore,1
Owen (brother of Meribald),1
Owen,1
Owen Inchfield,1
Palla,1
Pate (Old),1
Pate (Mory),1
Pate (Lancewood),1
Pate (Pinchbottom),0
Pate (Night's Watch),1
Pate (Shermer's Grove),1
Pate (Standfast),0
Penny Jenny,1
Penny,1
Perros Blackmont,1
Perwyn Osgrey,1
Peter Plumm,1
Plummer,1
Poetess,1
Pollitor,1
Porridge,1
Porther,1
Portifer Woodwright,1
Poul Pemford,0
Poxy Tym,0
Praed,0
Puckens,1
Pudding,1
Puddingfoot,1
Qalen,1
Qarl the Thrall,1
Qarl Kenning,1
Qarl Correy,1
Qarl Shepherd,1
Qarl Quickaxe,1
Qos,1
Quellon Humble,1
Quaro,0
Aelinor Penrose,1
Aemon Estermont,1
Aemon Rivers,1
Aglantine,1
Aladale Wynch,0
Albett,1
Albar Royce,1
Alesander Staedmon,1
Alekyne Florent,1
Alesander Frey,1
Alester Norcross,1
Allard Seaworth,0
Allar Deem,0
Alla Tyrell,1
Alyn Cockshaw,0
Alyce Graceford,1
Alyn Connington,1
Alyn Ambrose,1
Alyn Estermont,1
Alyn Stackspear,1
Alyn Frey,1
Alyn Haigh,1
Alysanne Bulwer,1
Alysanne Lefford,1
Alys Frey,1
Alyssa Blackwood,0
Alyx Frey,1
Amarei Crakehall,0
Ambrose Butterwell,0
Andar Royce,1
Andros Brax,0
Antario Jast,1
Andrew Estermont,1
Annara Farring,1
Ardrian Celtigar,1
Anya Waynwood,1
Androw Frey,1
Armond Caswell,1
Arthur Ambrose,1
Arthor Karstark,1
Arwyn Frey,1
Artos Stark,1
Arwood Frey,1
Lord Ashford,1
Azzak,1
Baelor Hightower,1
Balman Byrch,0
Barth,0
Bayard Norcross,1
Bedwyck,1
Barthogan Stark,1
Bellena Hawick,1
Benedar Belmore,1
Benedict Broom,1
Bennard Brune,1
Benfrey Frey,0
Beren Tallhart,1
Berena Hornwood,1
Beth Cassel,1
Beron Stark,1
Bhakaz zo Loraq,1
Bethany Redwyne,1
Bethany Rosby,0
Black Bernarr,1
Betharios of Braavos,1
Boremund Harlaw,1
Bradamar Frey,1
Branston Cuy,1
Brandon Tallhart,1
Bryan Fossoway,0
Bryan Frey,1
Bryen Farring,0
Bryen Caron,0
Burton Crakehall,0
Craghas Drahar,0
Carolei Waynwood,1
Lord Caswell,1
Cayn,0
Cerenna Lannister,1
Cersei Frey,1
Chayle,0
Clarent Crakehall,0
Clement Crabb,1
Clement Piper,1
Cley Cerwyn,0
Clubfoot Karl,0
Conwy,1
Colin Florent,1
Colmar Frey,1
Corliss Penny,1
Creighton Redfort,1
Cuger,1
Cregan Stark,0
Cyrenna Swann,0
Cynthea Frey,1
Daegon Shepherd,1
Daeron Vaith,1
Dafyn Vance,1
Dagon Greyjoy,1
Dalbridge,0
Damon Paege,1
Damon Shett,1
Damon Vypren,1
Dancy,1
Dareon,0
Darlessa Marbrand,1
Daryn Hornwood,0
Danwell Frey,1
Deana Hardyng,1
Delena Florent,1
Della Frey,1
Delp,0
Delonne Allyrion,1
Denys Darklyn,1
Denys Arryn,0
Dermot,1
Desmond,0
Desmond Redwyne,1
Deziel Dalt,1
Dickon Tarly,1
Dickon Frey,1
Dirk,0
Dolf,1
Donnel Haigh,1
Donnel of Duskendale,1
Donnel Locke,0
Donnel Waynwood,1
Donnor Stark,1
Dormund,0
Duram Bar Emmon,1
Ebben,0
Edderion Stark,1
Edmyn Tully,1
Eddara Tallhart,1
Edrick Stark,1
Edwyd Fossoway,0
Edwyn Stark,1
Edwyle Stark,1
Elder Brother,1
Elbert Arryn,0
Eleanor Mooton,1
Ellery Vance,1
Elron,1
Elinor Tyrell,1
Elmar Frey,1
Elwood,0
Elwood Meadows,1
Elyana Vypren,1
Elyn Norridge,1
Emberlei Frey,1
Endrew Tarth,0
Eroeh,0
Eon Hunter,0
Ermesande Hayford,1
Erena Glover,1
Erren Florent,1
Eustace Brune,1
Eustace Hunter,1
Eyron Stark,1
Ferrego Antaryon,1
Forley Prester,1
Franklyn Fowler,1
Flement Brax,1
Frenken,1
Franklyn Frey,1
Gareth Clifton,1
Garrison Prester,1
Garth of Greenaway,0
Garrett Flowers,1
Garse Goodbrook,1
Garse Flowers,1
Garth Greenfield,1
Garth Greyfeather,0
Gawen Swann,0
Gawen Glover,1
Gawen Wylde,0
Garth Tyrell,1
Gendel,1
Gawen Westerling,1
Gerald Gower,1
Gerold Grafton,1
Gerardys,0
Gilbert Farring,1
Glendon Hewett,1
Gilwood Hunter,1
Godric Borrell,1
Goodwin,1
Gormon Peake,0
Gorne,1
Gormon Tyrell,1
Grazdan mo Eraz,1
Grazdan mo Ullhor,0
Grazdar zo Galare,1
Grubbs,0
Gueren,1
Guncer Sunglass,0
Gulian Swann,1
Guthor Grimm,1
Gunthor Hightower,1
Gyldayn,1
Gwayne Hightower,0
Hairy Hal,0
Hake,0
Halder,1
Hallis Mollen,1
Halmon Paege,1
Harbert,1
Harlan Hunter,1
Harlen Tyrell,0
Harmond Umber,1
Harmune,1
Harrold Westerling,0
Harwood Fell,0
Harwin Strong,0
Harwood Stout,1
Harys Haigh,1
Helman Tallhart,0
Lord Commander Hoare,1
Hobber Redwyne,1
Hoarfrost Umber,1
Hosman Norcross,1
Hoster Frey,1
Horas Redwyne,1
Hubard Rambton,0
Horton Redfort,1
Hotho Harlaw,1
Hugo Wull,1
Hugor of the Hill,1
Hugo Vance,1
Hullen,0
Humfrey Beesbury,0
Humfrey Hardyng,0
Humfrey Swyft,1
Humfrey Wagstaff,1
Igon Vyrwel,1
Jacks,1
Janei Lannister,1
Jammos Frey,1
Janna Tyrell,1
Jaremy Rykker,0
Jarl,0
Jason Lannister,0
Jasper Arryn,1
Jasper Redfort,1
Jeren,1
Jeyne Arryn,0
Jeyne Beesbury,1
Jeyne Darry,1
Jeyne Goodbrook,1
Jeyne Rivers,1
Jeyne Lydden,1
Joffrey Lonmouth,0
Joffrey Caswell,0
Jon Bettley,1
Jon Brax,1
Jon Lynderly,1
Jon Myre,1
Jon Redfort,1
Jon Wylde,1
Jonos Stark,1
Jonos Frey,1
Jonnel Stark,1
Joramun,1
Jorah Stark,1
Jonothor Darry,0
Jorelle Mormont,1
Jyana,1
Joy Hill,1
Jyanna Frey,1
Kaeth,0
Jynessa Blackmont,1
Karlon Stark,1
Kedge Whiteye,1
Kennos of Kayce,1
Kezmya,1
Kyra,0
Kyra Frey,1
Lambert Turnberry,1
Lark,0
Larence Snow,1
Larra Blackmont,1
Lanna Lannister,1
Leathers,1
Left Hand Lew,1
Leo Lefford,0
Leo Blackbar,1
Leona Woolfield,1
Leonette Fossoway,1
Leonella Lefford,1
Lester Morrigen,1
Lewys the Fishwife,1
Lewys Lydden,1
Leslyn Haigh,1
Lomas Estermont,1
Lorent Marbrand,0
Loreza Sand,1
Lothar Mallery,0
Lucas Corbray,1
Lucas Codd,1
Luceon Frey,1
Lucias Vypren,1
Lucos Chyttering,1
Lucion Lannister,1
Luthor Tyrell,1
Lyanna Mormont,1
Lyessa Flint,1
Lyman Beesbury,0
Lymond Goodbrook,1
Lyman Darry,0
Lymond Lychester,1
Lymond Vikary,1
Lyonel Selmy,1
Aggo,1
Alys Karstark,1
Cleos Frey,0
Dontos Hollard,0
Craster,0
Dale Seaworth,0
Denys Mallister,1
Edric Storm,1
Hosteen Frey,1
Lyonel Corbray,1
Lyonel Frey,1
Lyonel Strong,0
Lythene Frey,1
Lyra Mormont,1
Maegelle Frey,1
Mallador Locke,0
Malwyn Frey,1
Manfrey Martell,1
Margot Lannister,1
Maric Seaworth,0
Marianne Vance,1
Mariya Darry,1
Marissa Frey,1
Maron Martell,1
Maron Volmark,1
Marq Rankenfell,1
Marsella Waynwood,1
Matarys Targaryen,0
Martyn Rivers,1
Martyn Lannister,1
Marwyn Belmore,1
Mathis Frey,1
Matthar,1
Mawney,0
Medgar Tully,0
Medger Cerwyn,0
Megga Tyrell,1
Meldred Merlyn,1
Melesa Crakehall,1
Melara Crane,1
Melessa Florent,1
Mellara Rivers,1
Melwyn Sarsfield,1
Melwys Rivers,1
Meredyth Crane,1
Merianne Frey,1
Merlon Crakehall,1
Mezzara,1
Mina Tyrell,1
Moelle,1
Monterys Velaryon,1
Moredo Prestayn,1
Monford Velaryon,0
Moribald Chester,1
Morton Waynwood,1
Morya Frey,1
Mullin,1
Moryn Tyrell,1
Munda,1
Muttering Bill,0
Mushroom,1
Murmison,0
Mylenda Caron,1
Myles Smallwood,1
Myles Mooton,0
Myria Jordayne,1
Myles Manwoody,1
Mysaria,1
Myrielle Lannister,1
Noho Dimittis,1
Norne Goodbrother,1
Norbert Vance,1
Nymella Toland,1
Nysterica,1
Ollidor,1
Ollo Lophand,0
Olyvar Frey,1
Omer Blackberry,1
Olymer Tyrell,1
Ondrew Locke,1
Orbert Caswell,0
Ordello,0
Omer Florent,1
Orland of Oldtown,1
Ormond Yronwood,1
Orphan Oss,0
Osbert Serry,1
Osmund Frey,1
Oswell Kettleblack,1
Ossifer Plumm,0
Otho Bracken,1
Ottyn Wythers,0
Owen Norrey,0
Pate of the Blue Fork,0
Patrek Mallister,1
Patrek Vance,1
Perriane Frey,1
Perra Frey,1
Perwyn Frey,1
Philip Foote,1
Philip Plumm,1
Pono,1
Qarro Volentin,1
Qarlton Chelsted,0
Lord Commander Qorgyle,0
Quent,1
Quenten Banefort,1
Quenton Hightower,1
Quentyn Ball,0
Quentyn Qorgyle,1
Quincy Cox,1
Ragwyle,1
Ralf Kenning,0
Raymun Redbeard,0
Raynard,1
Raynald Westerling,0
Red Alyn of the Rosewood,0
Raynard Ruttiger,1
Raymund Frey,1
Regenard Estren,1
Renly Norcross,1
Renfred Rykker,1
Rhea Royce,0
Rennifer Longwaters,1
Rhea Florent,1
Rhogoro,1
Rickard Ryswell,1
Rickard Thorne,0
Rickard Wylde,1
Robert Frey,1
Robert Flowers,1
Robert Brax,0
Robin Hill,1
Robin Flint,0
Robin Moreland,1
Robin Ryger,1
Rodrik Flint,1
Rodrik Stark,1
Rodrik Ryswell,1
Roger Hogg,1
Rodwell Stark,1
Rolland Longthorpe,1
Rolland Uffering,1
Ronel Rivers,1
Ronald Connington,1
Ronald Vance,1
Roro Uhoris,1
Royce Coldwater,1
Rufus Leek,1
Rugen,1
Runcel Hightower,1
Rupert Brax,0
Rycherd Crane,1
Ryam Redwyne,0
Ryam Florent,1
Ryger Rivers,1
Ryella Frey,1
Ryella Royce,1
Rylene Florent,1
Ryon Allyrion,1
Saera Targaryen,0
Sallei Paege,1
Sandor Frey,1
Sarya Whent,1
Sarra Frey,1
Sawane Botley,0
Scolera,1
Sebaston Farman,1
Selwyn Tarth,1
Selmond Stackspear,1
Serala,1
Serwyn of the Mirror Shield,1
Serra Frey,1
Shella Whent,0
Shierle Swyft,1
Shiera Crakehall,1
Shirei Frey,1
Simon Staunton,1
Sigfryd Harlaw,1
Lord Staunton,0
Stannis Seaworth,1
Steffon Seaworth,1
Steffon Frey,1
Steffon Swyft,1
Steffon Darklyn,0
Steffon Stackspear,1
Sumner Crakehall,1
Sylas Flatnose,1
Sybell Spicer,1
Symon Santagar,1
Sybelle Glover,1
Sylwa Paege,1
Symon Hollard,1
Symond Templeton,1
Symond Frey,0
Tallad,1
Tanton Fossoway,1
Ternesio Terys,1
Terrence Kenning,1
Theodan Wells,1
Terrence Toyne,0
Theodore Tyrell,1
Theomar Smallwood,1
